ID,Tipo,COD,Nome,Pubblicato,In primo piano?,Visibilità nel catalogo,Breve descrizione,Descrizione,Data di partenza del prezzo in saldo,Data in cui termina l'offerta,Stato delle imposte,Aliquota di imposta,In stock?,Magazzino,Quantità in magazzino bassa,Abilita gli ordini arretrati?,Venduto singolarmente?,Peso (kg),Lunghezza (cm),Larghezza (cm),Altezza (cm),Permetti le recensioni clienti?,Nota di acquisto,Prezzo in offerta,Prezzo di listino,Categorie,Tag,Classe di spedizione,Immagine,Limite di download,Scarica i giorni di scadenza,Genitore,Prodotti raggruppati,Up-sell,Cross-sell,URL esterna,Testo del pulsante,Posizione,Variation Gallery,Swatches Attributes,Attributo 1 nome,Attributo 1 valuta(e),Attributo 1 visibile,Attributo 1 globale,Attributo 2 nome,Attributo 2 valuta(e),Attributo 2 visibile,Attributo 2 globale,Attributo 3 nome,Attributo 3 valuta(e),Attributo 3 visibile,Attributo 3 globale,Attributo 4 nome,Attributo 4 valuta(e),Attributo 4 visibile,Attributo 4 globale,Attributo 5 nome,Attributo 5 valuta(e),Attributo 5 visibile,Attributo 5 globale,Attributo 6 nome,Attributo 6 valuta(e),Attributo 6 visibile,Attributo 6 globale,Attributo 7 nome,Attributo 7 valuta(e),Attributo 7 visibile,Attributo 7 globale,Attributo 8 nome,Attributo 8 valuta(e),Attributo 8 visibile,Attributo 8 globale,Attributo 9 nome,Attributo 9 valuta(e),Attributo 9 visibile,Attributo 9 globale,Attributo 10 nome,Attributo 10 valuta(e),Attributo 10 visibile,Attributo 10 globale,Attributo 11 nome,Attributo 11 valuta(e),Attributo 11 visibile,Attributo 11 globale,Attributo 12 nome,Attributo 12 valuta(e),Attributo 12 visibile,Attributo 12 globale,Attributo 13 nome,Attributo 13 valuta(e),Attributo 13 visibile,Attributo 13 globale,Attributo 14 nome,Attributo 14 valuta(e),Attributo 14 visibile,Attributo 14 globale
\n 	<li>nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o altre parti del corpo;</li>
\n 	<li>ancoraggio su superficie piana, profondità 80/70/60 cm;</li>
\n 	<li>la resa è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Arredo urbano, Arredo urbano > Fitness",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2023/12/2307c31s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2307c8.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2307c12.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2307c16.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2307c17.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2307c18.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2307ciinox.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,168 cm,1,1,Larghezza,12 cm,1,1,Altezza Totale,241 cm,1,1,Età,14+ years,1,1,Numero di Utenti,,1,1,Zona di Sicurezza,"12\,7 m2",1,1,Altezza di Caduta Libera,130 cm,1,1,In conformità alla norma EN,16630:2015,1,0,Altezza piattaforma scivolo,32 kg,1,0,Dimensioni delle parti,10x10x350 cm,1,1,Peso della parte più pesante,110 kg,1,1,Tempo di installazione,"1,5 ore",1,0,Disponibilità di ricambi,YES,1,1,Tempo di installazione,4 ore,1,1

5664,simple,,WORKOUT 2308,1,1,visible,"Strutture in acciaio con numerosi bar e elementi creati per l'allenamento con il peso del proprio corpo. Design moderno, materiali durevoli e opzioni di colore, perfetti per creare un moderno campo sportivo.","<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>dispositivo destinato alle palestre pubbliche all'aperto;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o altre parti del corpo;</li>
\n 	<li>ancoraggio su superficie piana, profondità 80/70/60 cm;</li>
\n 	<li>la resa è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Arredo urbano, Arredo urbano > Fitness",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2023/12/2308c31s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2308c8.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2308c12.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2308c16.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2308c17.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2308c18.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2308ciinox.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,234 cm,1,1,Larghezza,12 cm,1,1,Altezza Totale,241 cm,1,1,Età,14+ years,1,1,Numero di Utenti,,1,1,Zona di Sicurezza,"24\,5 m2",1,1,Altezza di Caduta Libera,231 cm,1,1,In conformità alla norma EN,16630:2015,1,0,Altezza piattaforma scivolo,32 kg,1,0,Dimensioni delle parti,10x10x350 cm,1,1,Peso della parte più pesante,110 kg,1,1,Tempo di installazione,"1,5 ore",1,0,Disponibilità di ricambi,YES,1,1,Tempo di installazione,4 ore,1,1

5665,simple,,WORKOUT 2309,1,1,visible,"Strutture in acciaio con numerosi bar e elementi creati per l'allenamento con il peso del proprio corpo. Design moderno, materiali durevoli e opzioni di colore, perfetti per creare un moderno campo sportivo.","<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>dispositivo destinato alle palestre pubbliche all'aperto;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o altre parti del corpo;</li>
\n 	<li>ancoraggio su superficie piana, profondità 80/70/60 cm;</li>
\n 	<li>la resa è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Arredo urbano, Arredo urbano > Fitness",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2023/12/2309c31s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2309c8.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2309c12.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2309c16.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2309c17.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2309c18.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2309ciinox.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,123 cm,1,1,Larghezza,12 cm,1,1,Altezza Totale,241 cm,1,1,Età,14+ years,1,1,Numero di Utenti,,1,1,Zona di Sicurezza,"19\,7 m2",1,1,Altezza di Caduta Libera,229 cm,1,1,In conformità alla norma EN,16630:2015,1,0,Altezza piattaforma scivolo,32 kg,1,0,Dimensioni delle parti,10x10x350 cm,1,1,Peso della parte più pesante,110 kg,1,1,Tempo di installazione,"2,5 ore",1,0,Disponibilità di ricambi,YES,1,1,Tempo di installazione,4 ore,1,1

5666,simple,,WORKOUT 2310,1,1,visible,"Strutture in acciaio con numerosi bar e elementi creati per l'allenamento con il peso del proprio corpo. Design moderno, materiali durevoli e opzioni di colore, perfetti per creare un moderno campo sportivo.","<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>dispositivo destinato alle palestre pubbliche all'aperto;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o altre parti del corpo;</li>
\n 	<li>ancoraggio su superficie piana, profondità 80/70/60 cm;</li>
\n 	<li>la resa è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Arredo urbano, Arredo urbano > Fitness",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2023/12/2310c31s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2310c8.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/0e0e-2310c121s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2310c16.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2310c17.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2310c18.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2310ciinox.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,123 cm,1,1,Larghezza,12 cm,1,1,Altezza Totale,241 cm,1,1,Età,14+ years,1,1,Numero di Utenti,,1,1,Zona di Sicurezza,"18\,9 m2",1,1,Altezza di Caduta Libera,230 cm,1,1,In conformità alla norma EN,16630:2015,1,0,Altezza piattaforma scivolo,32 kg,1,0,Dimensioni delle parti,10x10x350 cm,1,1,Peso della parte più pesante,110 kg,1,1,Tempo di installazione,2 ore,1,0,Disponibilità di ricambi,YES,1,1,Tempo di installazione,4 ore,1,1

5667,simple,,WORKOUT 2311,1,1,visible,"Strutture in acciaio con numerosi bar e elementi creati per l'allenamento con il peso del proprio corpo. Design moderno, materiali durevoli e opzioni di colore, perfetti per creare un moderno campo sportivo.","<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>dispositivo destinato alle palestre pubbliche all'aperto;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o altre parti del corpo;</li>
\n 	<li>ancoraggio su superficie piana, profondità 80/70/60 cm;</li>
\n 	<li>la resa è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Arredo urbano, Arredo urbano > Fitness",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2023/12/2311c31s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2311c8.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2311c12.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2311c16.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2311c17.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2311c18.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2311ciinox.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,153 cm,1,1,Larghezza,123 cm,1,1,Altezza Totale,347 cm,1,1,Età,14+ years,1,1,Numero di Utenti,,1,1,Zona di Sicurezza,"29\,2 m2",1,1,Altezza di Caduta Libera,245 cm,1,1,In conformità alla norma EN,16630:2015,1,0,Altezza piattaforma scivolo,32 kg,1,0,Dimensioni delle parti,4x4x450 cm,1,1,Peso della parte più pesante,110 kg,1,1,Tempo di installazione,"1,5 ore",1,0,Disponibilità di ricambi,YES,1,1,Tempo di installazione,4 ore,1,1

5668,simple,,WORKOUT 2312,1,1,visible,"Strutture in acciaio con numerosi bar e elementi creati per l'allenamento con il peso del proprio corpo. Design moderno, materiali durevoli e opzioni di colore, perfetti per creare un moderno campo sportivo.","<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>dispositivo destinato alle palestre pubbliche all'aperto;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o altre parti del corpo;</li>
\n 	<li>ancoraggio su superficie piana, profondità 80/70/60 cm;</li>
\n 	<li>la resa è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Arredo urbano, Arredo urbano > Fitness",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2023/12/2312c31s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2e99-2312c81s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/0fcf-2312c121s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/311c-2312c161s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/013e-2312c171s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/f166-2312c181s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/7b9f-2312ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,123 cm,1,1,Larghezza,86 cm,1,1,Altezza Totale,351 cm,1,1,Età,14+ years,1,1,Numero di Utenti,,1,1,Zona di Sicurezza,"25\,5 m2",1,1,Altezza di Caduta Libera,249 cm,1,1,In conformità alla norma EN,16630:2015,1,0,Altezza piattaforma scivolo,38 kg,1,0,Dimensioni delle parti,10x10x460 cm,1,1,Peso della parte più pesante,110 kg,1,1,Tempo di installazione,"1,5 ore",1,0,Disponibilità di ricambi,YES,1,1,Tempo di installazione,4 ore,1,1

5669,simple,,WORKOUT 2313,1,1,visible,"Strutture in acciaio con numerosi bar e elementi creati per l'allenamento con il peso del proprio corpo. Design moderno, materiali durevoli e opzioni di colore, perfetti per creare un moderno campo sportivo.","<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>dispositivo destinato alle palestre pubbliche all'aperto;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o altre parti del corpo;</li>
\n 	<li>ancoraggio su superficie piana, profondità 80/70/60 cm;</li>
\n 	<li>la resa è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Arredo urbano, Arredo urbano > Fitness",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2023/12/2313c31s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/262f-2313c81s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/1fd2-2313c121s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2313c161s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2313c171s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/49d2-2313c181s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2313ci1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,123 cm,1,1,Larghezza,12 cm,1,1,Altezza Totale,241 cm,1,1,Età,14+ years,1,1,Numero di Utenti,,1,1,Zona di Sicurezza,"11\,3 m2",1,1,Altezza di Caduta Libera,126 cm,1,1,In conformità alla norma EN,16630:2015,1,0,Altezza piattaforma scivolo,38 kg,1,0,Dimensioni delle parti,10x10x350 cm,1,1,Peso della parte più pesante,110 kg,1,1,Tempo di installazione,1 ore,1,0,Disponibilità di ricambi,YES,1,1,Tempo di installazione,4 ore,1,1

5670,simple,,WORKOUT 2314,1,1,visible,"Strutture in acciaio con numerosi bar e elementi creati per l'allenamento con il peso del proprio corpo. Design moderno, materiali durevoli e opzioni di colore, perfetti per creare un moderno campo sportivo.","<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>dispositivo destinato alle palestre pubbliche all'aperto;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o altre parti del corpo;</li>
\n 	<li>ancoraggio su superficie piana, profondità 80/70/60 cm;</li>
\n 	<li>la resa è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Arredo urbano, Arredo urbano > Fitness",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2023/12/2314c31s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/f3aa-2314c81s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2314c121s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2314c161s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2314c171s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/8303-2314c181s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2314ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,233 cm,1,1,Larghezza,122 cm,1,1,Età,241 cm,1,1,Età,14+ years,1,1,Numero di Utenti,,1,1,Zona di Sicurezza,"20\,6 m2",1,1,Altezza di Caduta Libera,139 cm,1,1,In conformità alla norma EN,16630:2015,1,0,Tempo di installazione,32 kg,1,1,Dimensioni delle parti,10x10x350 cm,,,,,,,Tempo di installazione,1 ore,,,Disponibilità di ricambi,YES,1,1,,,,

5671,simple,,WORKOUT 2315,1,1,visible,"Strutture in acciaio con numerosi bar e elementi creati per l'allenamento con il peso del proprio corpo. Design moderno, materiali durevoli e opzioni di colore, perfetti per creare un moderno campo sportivo.","<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>dispositivo destinato alle palestre pubbliche all'aperto;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o altre parti del corpo;</li>
\n 	<li>ancoraggio su superficie piana, profondità 80/70/60 cm;</li>
\n 	<li>la resa è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Arredo urbano, Arredo urbano > Fitness",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2023/12/2315c31s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/8a60-2315c81s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2315c121s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2315c161s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2315c171s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/5532-2315c181s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2315ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,233 cm,1,1,Larghezza,59 cm,1,1,Età,242 cm,1,1,Età,14+ years,1,1,Numero di Utenti,,1,1,Zona di Sicurezza,"17\,2 m2",1,1,Altezza di Caduta Libera,139 cm,1,1,In conformità alla norma EN,16630:2015,1,0,Tempo di installazione,32 kg,1,1,Dimensioni delle parti,10x10x350 cm,,,,,,,Tempo di installazione,1 ore,,,Disponibilità di ricambi,YES,1,1,,,,

5672,simple,,WORKOUT 2323,1,1,visible,"Strutture in acciaio con numerosi bar e elementi creati per l'allenamento con il peso del proprio corpo. Design moderno, materiali durevoli e opzioni di colore, perfetti per creare un moderno campo sportivo.","<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>dispositivo destinato alle palestre pubbliche all'aperto;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o altre parti del corpo;</li>
\n 	<li>ancoraggio su superficie piana, profondità 80/70/60 cm;</li>
\n 	<li>la resa è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Arredo urbano, Arredo urbano > Fitness",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2023/12/2323c31s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/fd04-2323c81s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2323c121s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2323c161s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2323c171s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/a1b5-2323c181s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2323ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,348 cm,1,1,Larghezza,233 cm,1,1,Età,241 cm,1,1,Età,14+ years,1,1,Numero di Utenti,,1,1,Zona di Sicurezza,"32\,6 m2",1,1,Altezza di Caduta Libera,240 cm,1,1,In conformità alla norma EN,16630:2015,1,0,Tempo di installazione,38 kg,1,1,Dimensioni delle parti,10x10x350 cm,,,,,,,Tempo di installazione,1 ore,,,Disponibilità di ricambi,YES,1,1,,,,

5673,simple,,WORKOUT 2324,1,1,visible,"Strutture in acciaio con numerosi bar e elementi creati per l'allenamento con il peso del proprio corpo. Design moderno, materiali durevoli e opzioni di colore, perfetti per creare un moderno campo sportivo.","<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>dispositivo destinato alle palestre pubbliche all'aperto;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o altre parti del corpo;</li>
\n 	<li>ancoraggio su superficie piana, profondità 80/70/60 cm;</li>
\n 	<li>la resa è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Arredo urbano, Arredo urbano > Fitness",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2023/12/2324c31s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/e3f0-2324c81s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/1f4f-2324c121s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2726-2324c161s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/f45e-2324c171s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/07e2-2324c181s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2324ci1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,458 cm,1,1,Larghezza,379 cm,1,1,Età,241 cm,1,1,Età,14+ years,1,1,Numero di Utenti,,1,1,Zona di Sicurezza,"39\,9 m2",1,1,Altezza di Caduta Libera,228 cm,1,1,In conformità alla norma EN,16630:2015,1,0,Tempo di installazione,32 kg,1,1,Dimensioni delle parti,10x10x350 cm,,,,,,,Tempo di installazione,1 ore,,,Disponibilità di ricambi,YES,1,1,,,,

5674,simple,,WORKOUT 2325,1,1,visible,"Strutture in acciaio con numerosi bar e elementi creati per l'allenamento con il peso del proprio corpo. Design moderno, materiali durevoli e opzioni di colore, perfetti per creare un moderno campo sportivo.","<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>dispositivo destinato alle palestre pubbliche all'aperto;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o altre parti del corpo;</li>
\n 	<li>ancoraggio su superficie piana, profondità 80/70/60 cm;</li>
\n 	<li>la resa è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Arredo urbano, Arredo urbano > Fitness",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2023/12/2325c31s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/0df2-2325c81s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/1395-2325c121s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/c7de-2325c161s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/3cef-2325c171s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/722b-2325c181s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/9f8b-2325ci1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,489 cm,1,1,Larghezza,453 cm,1,1,Età,347 cm,1,1,Età,14+ years,1,1,Numero di Utenti,,1,1,Zona di Sicurezza,"50\,5 m2",1,1,Altezza di Caduta Libera,245 cm,1,1,In conformità alla norma EN,16630:2015,1,0,Tempo di installazione,38 kg,1,1,Dimensioni delle parti,4x4x347 cm,,,,,,,Tempo di installazione,"1,5 ore",,,Disponibilità di ricambi,YES,1,1,,,,

5675,simple,,WORKOUT 2326,1,1,visible,"Strutture in acciaio con numerosi bar e elementi creati per l'allenamento con il peso del proprio corpo. Design moderno, materiali durevoli e opzioni di colore, perfetti per creare un moderno campo sportivo.","<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>dispositivo destinato alle palestre pubbliche all'aperto;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o altre parti del corpo;</li>
\n 	<li>ancoraggio su superficie piana, profondità 80/70/60 cm;</li>
\n 	<li>la resa è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
